,Source,Link
27,DDNews,http://ddnews.gov.in/national/home-ministry-blacklists-960-foreigners-involved-tablighi-activities
28,DDNews,http://ddnews.gov.in/national/goal-ensure-minimum-loss-life-due-covid-19pm
29,DDNews,http://ddnews.gov.in/national/cricket-coach-ravi-shastri-lauds-govts-efforts-curb-spread-novel-coronavirus
30,DDNews,http://ddnews.gov.in/national/every-day-crucial-battle-against-covid-19-pm-modi
31,DDNews,http://ddnews.gov.in/national/pm-asks-sportspersons-spread-message-positivity-social-distancing
32,DDNews,http://ddnews.gov.in/national/ne-regions-international-border-effectively-closed-enforce-lockdown-dr-jitendra-singh
33,DDNews,http://ddnews.gov.in/national/rural-development-ministry-releases-ex-gratia-amount-rs-500-woman-pmjdy-account-holders
34,DDNews,http://ddnews.gov.in/national/president-kovind-along-vp-interact-governors-and-lgs-pm-interacts-sportspersons-connection
35,DDNews,http://ddnews.gov.in/national/pm-modi-interacts-cms-bolster-efforts-tackle-covid-19
36,DDNews,http://ddnews.gov.in/national/cabinet-secretary-meets-cssdgps-covid-19
37,DDNews,http://ddnews.gov.in/national/government-hikes-mg-nregs-wages-wake-covid-19-pandemic-average-increase-rs20
38,DDNews,http://ddnews.gov.in/national/pm-modi-holds-video-conference-indian-ambassdors-hcs-discuss-covid-19-pandemic
39,DDNews,http://ddnews.gov.in/national/covid-19-oil-firms-give-rs-5-lakh-ex-gratia-delivery-boys-others-working-lpg-supply-chain
40,DDNews,http://ddnews.gov.in/national/pm-modi-interacts-ayush-professionals-video-conference-discuss-role-stakeholders-fighting
41,DDNews,http://ddnews.gov.in/national/india-participate-who-solidarity-trial-developing-potential-drugs-covid-19
42,DDNews,http://ddnews.gov.in/national/center-issues-advisory-make-adequate-arrangements-migrant-workers-covid-19-lock-down
43,DDNews,http://ddnews.gov.in/national/pm-interacts-radio-jockeys-covid-19
44,DDNews,http://ddnews.gov.in/national/president-urges-governors-lgs-mobilise-red-cross-society-contain-covid-19
45,DDNews,http://ddnews.gov.in/national/centre-sets-pm-cares-fund-deal-covid-19-pandemic-pm-modi-appeals-people-contribute
46,DDNews,http://ddnews.gov.in/national/sikkim-govt-announces-economic-package-provide-immediate-relief-economically-weaker
47,DDNews,http://ddnews.gov.in/national/mha-exempts-important-services-lockdown
48,DDNews,http://ddnews.gov.in/national/health-minister-reviews-action-preparedness-novel-coronavirus-indian-medical-association
49,DDNews,http://ddnews.gov.in/national/hrd-minister-instructs-iits-conduct-active-research-work-covid-19-field
50,DDNews,http://ddnews.gov.in/national/govt-intensifies-cluster-containment-strategies-rigorous-contact-tracing-covid-19-hotspots
51,DDNews,http://ddnews.gov.in/national/govt-strictest-action-blacklisting-those-who-violated-indian-visa-rules
52,DDNews,http://ddnews.gov.in/national/union-minister-sadanand-gowda-urges-psus-under-his-ministry-release-their-csr-funds
53,DDNews,http://ddnews.gov.in/national/24-people-who-took-part-religious-congregation-delhi%E2%80%99s-nizamuddin-tests-positive-covid19
54,DDNews,http://ddnews.gov.in/national/govt-ensures-availability-ppe-kits-n95-masks-and-ventilators-country-fight-covid-19
55,DDNews,http://ddnews.gov.in/national/pm-modi-interacts-leaders-social-spiritual-organisations-urges-them-spread-awareness-0
56,The Print,https://theprint.in/opinion/political-compromises-damaged-mayawatis-bsp-chandrashekhar-azads-party-wants-to-fill-in/382815/
